pathway	AD1	AD5	AD6	AD8	AP2	AP3	AP4	AP5	AP6	AP7	CON1	CON3	CON4	CON5	CON6	CON8
HEXITOLDEGSUPER-PWY	1472.379923486836	523.0633798152545	161.38401274875793	173.26589011025845	484.41600096451367	921.1967457790012	208.88490531042174	194.0942411344621	5.358187758000115	407.1772891774769	334.0180496524512	43.611491588657245	168.56005703376647	134.27113190441122	0.0	0.0
HISDEG-PWY	1851.0127746550845	2394.7567279277737	685.4715284715285	894.9100975614946	1207.1338292954438	1716.3613088424142	2408.692077773589	2650.5535148742924	1011.3233453609773	1766.768858800774	643.9764357844488	1631.8212969465285	1255.104369879048	744.5043651349441	720.3352066351483	1224.4246691396913
HISTSYN-PWY	8527.976231520128	8410.134575693799	2679.633821473737	2473.1158165307784	3190.727364281109	4110.011746321255	8165.960924342147	5578.326767562693	2686.999364501629	4624.620576638613	6427.659573086738	3314.413899999547	6101.208516825636	4217.474858763827	2093.9793068136532	6034.226347734067
HOMOSER-METSYN-PWY	173.04618152435145	1690.8008001944902	625.2104377930212	620.1679672811645	1010.9148833211015	822.7934693223041	2158.694450175558	1783.9316592952362	1179.9929668152367	710.6361890956399	2171.8185897368016	1181.7984482185682	2136.8826789011723	1999.4574584089773	968.2022491011734	2886.1250623663195
HSERMETANA-PWY	3441.0719922437934	2137.141045421899	714.7390327874085	1290.3734066750567	1639.890509668514	2311.718896947924	4207.3131825574665	3268.9465514790595	1663.5498236199228	2244.917195129305	2665.226982044173	2260.7379778561394	2827.187815507268	2114.3122382714037	1295.211435699037	3211.9334390633567
ILEUSYN-PWY	15207.70165364152	10974.0408048939	4980.422954164152	4402.656485441125	4809.4447154055	7041.470746164423	13642.479051762233	7819.239395886836	4492.695013537703	8424.18535960752	11428.37271342095	5815.473109369269	8764.674002983216	6512.830633498804	3365.1498444012436	12089.681377553445
KDO-NAGLIPASYN-PWY	26.33259179346377	0.0	0.0	76.43306313294728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LACTOSECAT-PWY	5795.560098740351	4201.532400640451	6249.595162646661	6940.198157814578	5659.756149902879	8022.531156628417	6103.029035909165	4186.333526260875	9651.15259186351	5894.250365053362	6582.08321885102	19343.989362105025	2281.725648548107	6098.550318813535	8610.258463481103	19913.584239223885
MET-SAM-PWY	268.20092154746857	2581.5949683440317	977.2745653773336	985.8442936745801	1596.6693366612658	1273.593091537402	3259.2762641468335	2722.3856986520004	1974.3198155456557	1093.5607944082976	3238.643587407623	1942.4059655727588	3198.1131107988404	3178.8497839870633	1609.0394959795706	4745.916720892263
METH-ACETATE-PWY	11.824354166105831	40.4017712653514	0.0	0.0	7.630556329360881	13.545060194603488	15.773710282536822	0.0	0.0	24.818632583348734	69.05522452054736	0.0	55.62096949809071	30.52971027422052	0.0	22.038225895518604
METHGLYUT-PWY	4.162177808377558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NAD-BIOSYNTHESIS-II	689.9119714633355	304.2178631789611	32.78846378068848	164.1778991197903	53.25770028215797	116.60578810641826	327.98127079916617	255.88640177978536	29.72305661612647	221.54409747448713	253.64632513169855	163.9857045486896	304.8385042946277	61.28699460781938	80.54561182887677	312.36885346418893
NAGLIPASYN-PWY	2055.5318225704514	3831.414208901884	1229.37351711671	1595.0026642503938	2140.348021984167	2503.047260283053	3849.5043887673082	3811.7653540239203	2157.652298580875	2229.2556779871707	1818.0702781494563	2776.6526982405358	2619.7279742187784	2064.5715131941056	1682.1291772796972	3430.831757854833
NONMEVIPP-PWY	10430.2737098258	10637.26242969115	3784.36049694287	3351.599106224723	4457.9846416237615	5937.361252837118	9982.072589045532	7087.981432710928	3767.54725624236	5882.346415604225	7427.515748894256	4446.768550365804	7233.1161063951895	5360.291405679917	2832.0509859266026	7551.813440411732
NONOXIPENT-PWY	22438.01439434941	21629.371659998174	10808.618533463537	7853.200440077083	12288.489669861638	14692.090363001162	21080.51978283036	15094.33625066654	6222.207118811184	12211.323838908887	14989.372656832613	6716.441782330082	15190.327000365016	11164.871949151766	7333.698871694628	14437.930459476618
OANTIGEN-PWY	13102.402108433796	19148.925068745582	10457.122347590943	10795.755568908848	13477.28264261059	12610.419854647747	15885.962628347774	14413.636754559742	15380.05978750413	9457.210343922186	8554.396067172724	8760.65217261058	11332.882521860562	10711.558768117073	9967.101872290898	13434.425459025655
ORNARGDEG-PWY	7.757346898799848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ORNDEG-PWY	6.655655381553325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P105-PWY	49.487232853121	0.0	0.0	142.60609676871056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P108-PWY	3629.7483393281727	5442.999259531921	1930.9878174139021	2350.4080030392142	3002.2647319660296	4115.506218819964	5617.092769263368	5265.633937772402	2948.9382527422786	3883.6015369557394	1900.8705535127688	3469.4892153913415	3598.935140138937	2463.3485806905587	2158.9572612802353	3871.0847729394286
P122-PWY	11611.43452745828	16775.616014823067	11100.84635366857	11905.800896885212	13749.878074998576	13379.556075419545	14918.317895513235	13736.11871425732	17255.14519030037	9764.709653347323	8536.58742924571	19317.18807571816	10115.042654978313	11170.781815181972	12126.925481843062	21771.970349927822
P124-PWY	14326.09256082774	18471.420744297757	12379.296648232485	13275.433333144227	15394.043165001667	15547.22179566431	17361.645799815033	15543.150025409235	19407.620632130463	11705.980513395336	10924.314542623753	23357.037739448886	11802.830807223221	13119.81860751125	14001.433331614318	26196.04029532878
P125-PWY	0.0	0.0	10.496830924309553	32.969801478406126	297.7080676422992	658.069012853611	38.96543395958652	40.459581631886145	8.99825246595799	23.98028665535221	29.968321981843044	20.9926116391749	2.9994799424302623	14.992856992321727	0.0	4.499711906624549
P161-PWY	18679.763225877592	19109.2052156136	14406.15061614591	15536.79868957382	16955.93300535921	16814.01764195534	19286.64311313677	16540.022545170672	21994.58955150027	12934.699135065068	12478.61497200882	26487.557046029193	11855.779407029982	13740.820382978456	15352.04810848486	30061.566799657718
P162-PWY	210.94271974206845	36.19351836730969	48.72847755768337	0.0	179.04406777375385	272.0042142375004	103.8294190554806	16.820458948038976	11.4848927587087	123.33833274268927	224.68682596780138	21.09704624470629	287.4990064955199	117.06340151377715	0.0	134.05007344583512
P163-PWY	89.63423824620853	189.6676303744387	34.588379296577045	30.30653180230026	0.0	0.0	300.5848888967773	0.0	0.0	90.33139993523147	177.8517564753142	190.65200259269955	289.0697157124623	11.905995482459575	0.0	189.1866322240793
P164-PWY	5654.05814092375	1056.836891709237	1539.2567925437231	307.0233601977458	278.5292457139976	864.4120341837225	2145.924760854691	1202.8724354090598	231.0697199941781	1724.8940529683516	1244.02980947208	220.70169567920425	2449.486394437896	550.745044008169	149.5470951399469	1578.3195351094212
P23-PWY	872.9056501113404	6758.571309708218	2294.651314906691	2552.727982950073	3512.203006604124	3669.3613083891896	6229.6454198774045	5668.491743271697	2683.008265987883	3130.024966698748	1929.3208608201364	1821.4402854032173	3712.908770737609	2860.3193956047116	1952.1209014371489	3954.883391299458
P341-PWY	758.804554178399	159.41569785433825	74.75707366577201	0.0	32.46146411712479	26.225508306468893	153.11831668326099	0.0	0.0	220.35140036256837	251.7436011463464	0.0	379.36814801949527	62.34159429967121	0.0	126.2978998277375
P4-PWY	864.5264437270222	5714.5481884406645	2205.4131884646417	2122.9376499828995	2892.955704520386	2861.1668070087735	6317.881055465039	4592.69976286174	2917.387687925685	2616.046153472355	4870.2609130247165	2928.6389006616955	5053.897581949325	4826.315769633326	2096.7864349413753	6787.334606621546
P42-PWY	6391.458142736366	10146.763633632365	3781.3523426515617	4049.4537392835196	5470.008912701559	6309.598811308412	8899.07712753742	8375.504353889099	5256.960821637727	5967.539864030599	3689.528073276954	5847.293764640557	5967.03428992341	4698.078729298824	3985.236300772242	7838.4393697146525
