normalized	AD1	AD5	AD6	AD8	AP2	AP3	AP4	AP5	AP6	AP7	CON1	CON3	CON4	CON5	CON6	CON8
1b51626e808a16839964bc946cea6daf	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1bcc8306e8924428b96b4731de22e4cc	55.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0
1be897ba1ae9fde0a82ba4d0c71f159b	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	157.0	23.0	17.0	84.0	0.0	30.0
1c6bc1a18afda1dc4316e54d7cecab99	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1c92e8da0f4c5f73d3b4fa51588725d7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
1d279a1860327ae774e3796a6bb14a9b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	32.0	0.0
1d38c507dc4df6a761f9eb7fd995f157	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1d42257239e8407396cd155b16ad2a3f	0.0	0.0	0.0	9.0	0.0	6.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0
1dcd69ae1c723546e7f87854061452f6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.0	0.0	0.0	0.0	0.0	0.0
1dd262d9d575ef6578f11013578935a3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1e088f9138870333c0385bb506f3f8b0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0
1e1143b781d6fb2c3c607275ab84f2f7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1e4a25e88c4c547b41d40a6f630c3896	159.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0
1e7899bf6421f1f36b3a84fdfe5e1bfe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0
1ef8eb325e4c5613e7c5d580951f6217	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1f200ef50380f90d7630860660aa1a2f	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1f78872e14ef66392dbb931869c134ad	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0
1f7fe50110d76705b612812e25966029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0
20f78d29e3b8a9354bd440d0d1316e34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
2173688f3c2254db2cf905a6c350bf79	31.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0
