OTUID,TOTAL,AD,AP,CON
2d16b7f72c11e9b2bb521f49193629ec,12.33333333,29.5,3.833333333,3.666666667
2d23d5207120d2a9f97aa5863ef04387,1.5,4.5,0,0
2d257553a6e4a29d1049474d2805c1fb,21.72222222,53.83333333,6,5.333333333
2d54bddc534353d4747ec1ffe430dfd1,1.055555556,3.166666667,0,0
2d7cbd5bbe37bf0a7e96d6a1029236ac,1,0,3,0
2e44846592a14c5147ccb92700a49a77,2.944444444,0,0,8.833333333
2eb2b317e3106a477a34836339150858,15.61111111,12,26.5,8.333333333
2f2b710b6e43a7e2e0d375c48d9c0c9d,0.333333333,0,0,1
2f3367988d9c042e164281d72e718b9b,81.22222222,137.3333333,29.83333333,76.5
2f37f6dfd5a9e76f2de09f6b7c189a6a,0.333333333,0,1,0
2f84e0f713ad12b7f80d875da9bd194a,8.888888889,20.33333333,6.333333333,0
30df889925fa7e6e7c2cb1b2d2ce8b45,0.333333333,0.166666667,0,0.833333333
3111f9924447489571a8ab8981721b20,0.722222222,0,0,2.166666667
31d6aa6610ab0dcb62cc7c884fb6d15f,7.944444444,23.83333333,0,0
32833a4c9aee19c697d504bb90cb45da,1.111111111,0,0,3.333333333
32c2759f0dd9ff9d0820daa70f8f5012,1.222222222,1.333333333,0,2.333333333
338e6f8d061eb6d15b4464f42ba41b7d,0.666666667,0,2,0
33ca47e9f0205462bd8ce281f2ba04df,0.888888889,0,2.666666667,0
34153e727eec04478be507cc5343405a,0.388888889,0,0,1.166666667
3422b9ae8482a9d14c0c6fdca9b608ab,6.555555556,5.666666667,4.666666667,9.333333333
348e85fdde75503a9c70539e268160bd,3.777777778,11.33333333,0,0
3566069e568a445eac1cc7eb548f79f2,21.33333333,55.33333333,3.666666667,5
356da847aaba77cabf4595d038fd2b68,6.166666667,0,5.833333333,12.66666667
35a3793bfe7609c7fc9f902a17aaf85f,47.05555556,72.16666667,44.16666667,24.83333333
35e21dd72be7afa8f7dc732852eaa935,8.166666667,22.66666667,0,1.833333333
363f843a8c637fe3e3bbc5de02733fe5,4.555555556,0,0,13.66666667
36e3241bea3768e4123c414f63716333,1.722222222,0,0,5.166666667
36e7d485787d726a0e16bff74100463e,47.11111111,38.33333333,40.16666667,62.83333333
37044cafc044a11885b013464c542d7a,2.222222222,0,1.666666667,5
370745f4994532cbc8f85559ac466cd5,1.555555556,0,0,4.666666667
374fced2de6dd515a1a3b1bc551e96de,0.166666667,0,0,0.5
37f201fc1c3d0347425aff977b59966a,0.777777778,0,2.333333333,0
38ed7202efb87e3468f28422c76f6a86,41.72222222,29.33333333,71.5,24.33333333
397e544c44b9ba06015ca6352cff347d,0.388888889,1.166666667,0,0
39ca424228e2fe8224a68252d7c1dfc5,3.944444444,1.833333333,5.166666667,4.833333333
39eb4d3fe8af4312ca2464ba2f4c0166,4.277777778,0,4,8.833333333
3a44b2d738787e926e9c65457ceafe77,0.055555556,0.166666667,0,0
3af1ce1958d93626781ddb08138c1555,14.72222222,42.16666667,2,0
3bf444ae891a8eaacb3203ca1760e075,1.611111111,3.5,1.333333333,0
3c118102f97c7b184f46f5a5328dafb1,7.555555556,4.666666667,12.5,5.5
3cc95b4e921d346d6cd11e2c74d528dc,0.5,0,0,1.5
3d3b82b078ec8acbc61ecf0ed892de0b,1.388888889,4.166666667,0,0
3e30d599c689f3356023ab445fe36eb0,5.833333333,3.333333333,2.333333333,11.83333333
3e6595ac31223c240b2c73f2061d36d5,7.777777778,11.33333333,12,0
3f46b2bc8f3d87c25b777b0c7945fac8,0.611111111,0,0,1.833333333
3fa1ee424efcd2e25413a80335310d63,0.111111111,0,0.333333333,0
3fdecf19232f899f07783c6b46092604,0.388888889,0,0,1.166666667
403a6ac50d66a24d8c79e92972cbbb90,1.777777778,0,0,5.333333333
40b6b949c5e42b864ea5782bd4a43968,4.166666667,0,7.666666667,4.833333333
4114b7b263ee2d2a9bad28c67a843e9d,0.444444444,1.333333333,0,0
