Taxon	AD1	AD5	AD6	AD8	AP2	AP3	AP4	AP5	AP6	AP7	CON1	CON3	CON4	CON5	CON6	CON8
Group	AD	AD	AD	AD	AP	AP	AP	AP	AP	AP	CON	CON	CON	CON	CON	CON
d__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae|g__uncultured|s__unidentified	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnoclostridium	57	0	15	0	0	21	15	0	0	0	32	0	0	0	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae|s__uncultured_bacterium	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_UCG-014|f__Clostridia_UCG-014|g__Clostridia_UCG-014	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__ASF356|s__uncultured_bacterium	0	20	0	0	0	38	61	19	0	41	41	9	0	0	0	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	336	0	44	22	76	0	103	0	0	0	222	46	191	0	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenellaceae_RC9_gut_group	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Butyricicoccaceae|g__Butyricicoccus|s__uncultured_bacterium	39	12	0	0	0	0	38	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae|s__uncultured_bacterium	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__[Eubacterium]_siraeum_group|s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	4	0	9	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_UCG-014|f__Clostridia_UCG-014|g__Clostridia_UCG-014|s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_UCG-014|f__Clostridia_UCG-014|g__Clostridia_UCG-014|s__uncultured_bacterium	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	0	0	0	0	0	5	0	0	0	0	7	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	0	0	20	0	0	0	0	0	0	28	13	10	33	0	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae	0	27	41	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae|s__uncultured_bacterium	211	24	20	0	0	0	22	0	0	0	0	30	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	0	0	0	0	0	22	13	0	0	0	54	0	0	0	0	22
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	140	59	72	0	30	46	40	57	0	92	42	5	72	0	0	30
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae|s__uncultured_bacterium	90	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_UCG-014|f__Clostridia_UCG-014|g__Clostridia_UCG-014	0	0	0	0	0	0	0	0	0	0	44	38	0	0	0	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae|s__uncultured_bacterium	0	116	37	17	50	76	22	30	11	51	49	103	70	28	91	35
