"OTUID"	"AD1"	"AD5"	"AD6"	"AD8"	"AP2"	"AP3"	"AP4"	"AP5"	"AP6"	"AP7"	"CON1"	"CON3"	"CON4"	"CON5"	"CON6"	"CON8"	"Taxon"	"Confidence"
"5033b6951462e70ee6301ce9c9ebe8c5"	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.999986564193131
"50be19a8d2830242681ea095a3b01b5a"	0	22	0	0	0	0	0	0	0	10	30	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.999986396889383
"5105f91b1b28ae7ee4dafb34c84c8fff"	0	33	0	0	38	59	27	0	0	0	0	0	0	0	0	68	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium"	0.773657159359278
"510b4a5f48086701416ab699f4056bad"	0	59	56	24	17	66	57	67	71	28	0	139	0	13	0	76	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_Bacteroidales"	0.87245343050199
"512898f314cce3e1e8a8323c36fef6e1"	0	0	0	0	0	61	0	38	17	156	0	0	0	112	0	115	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.999986194329234
"51b3e51d2d8fd6795294c65064c93eec"	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.99999313366944
"51dbca22f7469bb00e4379845bc1fb83"	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group"	0.715251340665413
"51e2f60e2e3871c998d391de0caac8bf"	0	0	0	0	0	0	0	90	23	0	0	0	0	0	0	35	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_UCG-014; f__Clostridia_UCG-014; g__Clostridia_UCG-014"	0.999999595845034
"5201655aa9cf2f7ace465410a878f312"	0	0	0	0	0	0	19	0	0	47	32	11	24	9	10	14	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_UCG-014; f__Clostridia_UCG-014; g__Clostridia_UCG-014"	0.999999678896955
"531ab4c63ec669ee00972774562309de"	0	56	83	84	60	104	96	154	120	61	0	59	38	21	39	25	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae"	0.999998954721511
"536c260407b5480c266a72004a8c6ccd"	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Incertae_Sedis; s__uncultured_bacterium"	0.844530534269805
"547f80f193a2881abc9f7026b92ad352"	621	379	540	846	460	690	570	261	1494	740	1001	3452	251	937	941	3597	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus"	0.999999929834381
"55569d0a471f84ff78ebf6cd42f083bf"	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Incertae_Sedis"	0.999752298169675
"56ccacfbbe8f56be55f3740e1f106abe"	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	33	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group; s__uncultured_bacterium"	0.73372469741369
"571f85b5db8d7d352c500e3097160aa1"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus"	0.998122231107571
"574947bc3b2c96ddd1c1752046ba01eb"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__uncultured; s__[Clostridium]_leptum"	0.856663125561977
"574b5592d3f088b14174abd838866651"	0	0	0	0	0	41	29	0	19	0	0	54	0	0	0	0	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae"	0.999853142353005
"57a2780152d4c79535f9c71d21c87db8"	31	0	0	8	0	0	0	59	19	14	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group"	0.894353977233274
"58038055caa314c384db91ebb63e2902"	38	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.999998062853097
"5848f6c0f80056b2150a449b5f38b3bd"	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae"	0.99895153091549
"5869a42e31899d7780629f0716109cf5"	43	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.99946856131717
"58cb1f714adaedf60dd49adf273eaf59"	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.99999513444894
"593d065c43a666a4107f3b14d3181bfe"	0	0	0	0	0	0	0	0	0	0	0	14	105	24	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.999991141654466
"594e2d8eb1e556986abce909e8b09ffc"	0	24	0	0	25	13	0	0	15	0	0	8	13	0	0	15	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae"	0.999983248672118
"59d1a85628793ccb23ab44f255226b15"	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium"	0.735292226300464
"5c33db7c460ec1200192e97fda0dbb2e"	0	0	0	0	6	16	7	0	2	6	10	7	5	9	4	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__NK4A214_group; s__unidentified"	0.996616759191513
