sequence	16S_rRNA_Count	metadata_NSTI
788fa73da2d45445a6055bd634945d43	2	0.247257
78e755f22b31aebfc49ec971c9e25f82	1	0.184717
7966f669971b26c2d74342a85e4c3880	1	0.167779
79a9d2c3929074a416360f2c49d9e818	1	0.154733
79e3e1a15fc3c30b2c6b9b0a46830a5a	1	0.20656
7a171e8173fb3b2eebf9da24f94c4882	4	0.489428
7a8561bed18f71eaf74b43d4d92d2176	1	0.007684
7ab0f5fd995b7d157e375b1520f8c635	1	0.135434
7ac5d6c23412507ac3b32e6d205c1aca	1	0.370212
7af3bd38f0f164d41ea3c8afa361ef51	1	0.16269
7ca8e4ee1186c7392d160a7dc543b6de	1	0.069573
7e0317f7ea7da7ba2121b612bbee1602	1	0.199346
7e3d9240b698c6bf8fc56676d35a7151	1	0.145448
7f6014bee7c27dce9aa46dbe30ee4351	1	0.249787
801703b9ac2077fb6039e27673fe9250	1	0.20656
806700bc9b7d560422f7c164b3bd8e6d	1	0.255641
8146deefacadef2055916d06c19a3abd	1	0.045131
81d39a75c4b6f966a8d4e03decd37b35	4	0.190097
81eb81acfe3c3b0fe1b0359689c88151	2	0.075144
8234b5d702df430c632de9a72590849e	1	0.335826
8281a4e3d20ba7701d1b22bc6a5cc274	4	0.27519
83060f4da8b5d59469fa63dcb7fb9ae4	1	0.205429
8383a9394d839568543ff7a5decb1956	1	0.209866
838d0736efd9295506133747708054b9	4	0.32534
8400b734c4ae6e29f117f0898c88e998	4	0.297959
8431ce797c88c8ae073512bf2145e2ae	1	0.044852
8475722b5af046e39bbcf71852911d88	2	0.109895
850fc8381d6fc19a74e163682a3c65f4	1	0.120765
851e5232eb7b349147288db209486f5f	1	0.14697
853cddc1b946f0d43a0716ac206af2bd	2	0.07743
8570b079ecb551d3b852a2decf2f34f6	1	0.022817
85ed3d8c30f1cf7ad10a011d18724cab	1	0.179853
88176c6a714b06d688c7281005f30f8e	1	0.372907
886286b87bf39aded1a0a1fe156b4122	1	0.167779
88ee1afef4d1eef84df08ed59359d002	2	0.261751
893084e9acd8dab780c2194205954fda	1	0.260966
89a6c15cf31792ba04d17860e9492227	1	0.377712
8ae299fe8aa39820660e7e6746ff1aae	1	0.203785
8bb80798528ee07dc94c4a66868cd392	1	0.186244
8bee12c45f4dc4dfc7ade55870939c3d	1	0.182767
8c8cd1cc4122ee8bbed77056f0065457	1	0.171933
8cbb635faeb95440eb5b52abe134ac3d	1	0.005307
8cef63ffe031742d411b2cf7039528d9	1	0.288734
8d0c34bb6dc7de3524ce44b28eb15257	1	0.299673
8d78ce934c43a8b36ce2c5ab4318a192	1	0.112444
8e8d8626220eac1ef6f7fb2080aa938f	1	0.179889
8e9e6e5f622f9a4a5196e7eea6fa6d7a	1	0.823882
8eff78d0b5b6f6333392c4f9148cb540	4	0.503642
90070bdb717e07254a704e23de24e334	1	0.28537
9066cdf0811ee0e606b6f0ef73860609	1	0.209866
90fc910ad1434734b1e55c6a5c7ab9eb	1	0.198594
9171265989ee178c441ad28afbf9dffa	1	0.148321
91d440a73841493d3eb3092b020e3319	2	0.660746
92c3e9828b72f5125d67007e640f2785	1	0.436638
9323bba95371261842328729e8a5c2fb	1	0.290953
939ebd9bd7a6eae4062b93537a84c65d	1	0.186445
942c85a5ce30e27155622d82ef326bc2	3	0.33003
94ef16ff9afb7eb33a92518cb4c063cb	1	0.140642
952c1fdc4c8295d4742b25f65e8c514a	4	0.283774
95d3dbd617f91106ba8cc3bcb26f8d9b	1	0.341829
96603dabde822238f48c2994b45788db	1	0.706176
967238c58c08cdaadb0d9beb32588307	2	1.338838
96f1df5356b17e2d4b6eefc878357fcb	1	0.000101
971577d146be3b80cdc7fed9a7ef1533	2	0.034455
973360718cfb0d1806d43527cb25adb3	2	0.041733
97ccb7279e702b364b30af7401d483ef	1	0.798903
987e547ebf8cab92d43f1d4dd99e0552	1	0.251851
98c96cf1a8d4ce090682ec03dc56cc0f	1	0.113294
98f02b7aa870b3d271333bc9660db91f	1	0.832929
98fcc7e4135d41152d2db711de5c1255	3	0.049479
9a9f34bd312afabc037651632ab4294c	1	0.184611
9aa6b6dc6d70c5e763d47a4353144107	1	0.34247
9b3495085364f87a3bbadad3fe0fe52a	1	0.652942
9c27410265c4c0f8558f6d01a3282755	1	0.359371
9c7bd185ed83458005e4f6cfd7f9a096	1	0.832345
9d1231e9a3e3361b978bbff3c3b158a8	3	0.183367
9d5e0ad5255570159134088975331f19	1	0.14433
9d81ad3b3c4fa998c967ca91c2278849	1	0.365825
9e194cf62ff1a0452c4436c017a595a5	1	0.44422
9e1ac459c5d8f5495b61ae4fd3ca3f27	1	0.080669
9e7125a102db8951720ec539b4e78113	1	0.027389
9eae7c99eef0776c8920ba9ab0c2b8b4	1	0.032713
a08e51322ac5413f32389f362e518aef	4	0.288307
a0ed3c259f6fceaaed3ef1b212339fb9	1	0.050452
a18f63fbb021cb27d0fa3fe66101b7ed	1	0.667453
a1a801fa7a6a810bcaa95b672cc45d79	1	0.48356
a1b177320d5a1f43a414ff5bf50d6490	1	0.182767
a2219a9d615b767a7a93a2d7973dcc69	4	0.338306
a25f3714d9c6e1182774b9f1708c264b	1	0.118839
a30e6cf2f96f909077895294fe9cdb23	4	0.237237
a33e83f023ba5e1cd862d4fb4860c07b	2	0.140159
a395edbcb5a5d2fdd42e3a3baffd555d	2	0.524209
a3aea2eefdb2882f03e08556a089f85c	1	0.766625
a3ff16ae7ca90d2955fac77ebffc08e5	1	0.221387
a47b4dc7cfdd15e4a610732ce5d2a494	4	0.290718
a5b1bb2d17ef157e0f0dcf77b0276bd7	1	0.102107
a5e2f15ca16051f06368b83adff956e3	7	0.528512
a61f45cdf31d948cfec00ccb21bb98f1	1	0.243905
a6bde860f1975c36c1c92f76851a0c6c	1	0.198738
a6ec8ace9ba7d81d66cdb368ea2981b7	1	0.091719
a71cdb983f4aa92f7986bbba79bdf852	4	0.274785
a7a3757df1cc2c6c776b071cc2bb45e3	1	0.011689
a7c079da939ab8ea89e4b4531c4e0588	1	0.145512
a7fa662426ce3e2cae4b02bd81dbcd35	1	0.659421
a83260ae5efd41945859904e88a99c81	4	0.495506
a8c1c05eb02c629d48ea5650f8f49118	1	0.25494
a8eb3e86e896febff5f3e223f84ba94b	2	0.055596
a98806e7219f134139c7c08cb513dff0	1	0.04519
a9a0015052b629976dfce94f3aa37c1c	1	0.338769
a9e655b715af0d6d1678bfb882216f1e	1	0.246929
aae071649568194b47df46feee11da03	2	0.718653
ab44862dfbb39d25dd3f5f93a63244c7	1	0.188165
ab562aadf89a7b6e0439c1309aac25c4	2	0.739412
ab710f55903115ee90699942c8c803b2	1	0.167779
ab7e99e2abf0e0abe74672af0eeb2dd3	1	0.616893
ac1a97cb6ef73c044b75b06c16c343bc	1	0.995132
acc18bd166c367b52d66b8300fe75431	4	0.381423
ad7fef1eb05c4d800c4aa48761a6cfc2	2	0.309052
adf57f5765096438bf7bbd04326d627a	1	0.135434
ae36f0cd816a360f704fc02e23d77b28	3	0.00015
ae3f6629c79d8e960dec7e51975b0a3d	1	0.093501
ae7f6b4b755c6bbd1eea0fe8a466909f	1	0.820793
af10a138550c12fd6312e6db89d4a813	4	0.306715
af8d8c5035e2e91ae2e5f55c67224a88	1	0.021817
b029c3969abc11b1fc37e198e5cd264e	2	0.231365
b05cb6d606346e0838a1658e7f5d81cf	1	0.030074
b11d516ae81b6b7b860daa2be226649a	2	0.353994
b14865baa1e41907fdf5844a8be6ca38	1	0.263832
b15d7a4b2fbf7682696a9ba03f953641	1	0.017745
b1bc415e9c5d9d60f5e4dca30d4da9b7	4	0.298729
b20b8aa4bd244d965316a278875a1469	4	0.250865
b21bbd9f9a9ee207b793d76c06672371	4	0.403908
b3dcc0fd3cd0c82ded1f95e29eb47ffe	2	0.666238
b4cc321368085c41af257f75e83793b3	2	0.016007
b4ec94217791dc0bab580d4288ade796	1	0.224358
b529c8dda4b277b828ebe9b9bdc087bb	2	0.075828
b58ea03fe3dc853f990238ff6e026e16	4	0.350036
b5cb8a7e242db4016e15c5bf0943a9ce	1	0.809992
b62296fda4210afbee8b33ffff02a04b	1	0.241493
b6635d67cb594473ddba9f8cfba5d13d	6	0.038671
b6c1a8ba78f65c4a4e96627ccc53ac86	1	0.044144
b6f5a4399f6bd346ea7f591db5595a02	1	0.178334
b7409db20419d9921bb75f9b0129d9ad	2	0.007886
b8aac847144c04285bc3bb3f60a2782f	2	0.076891
b91b43523a9a623c12d1f6d81fe9109a	1	0.180318
b9b10828ba7f31fb7ff57afdcdcb097a	1	0.209866
baab695bd57246eb38ec8cbe91b87b20	4	0.241833
bae39ec91c3bbfe88c9a61bdd9a3cd0a	1	0.252125
bae742fe04fbc970339d15f8be7d5d0e	2	0.516252
bae843c436b8cf33023622fdcf2fd7c9	1	0.272887
bb6295910294ee12c63ceb279a77862c	1	0.086592
bbcfe9ddd51ab083d446b0bb03f59068	1	0.363029
bbf314ff5ed38dd900afce7ad8750a10	1	0.149379
bc5355f3a294bc01a50e64cd8fdd2151	1	0.388331
bc870ddc91fc262ea74d6247a1d07076	1	0.071061
bccbf865db1bae1077517bd21170722d	2	0.062849
bddee504424cb052101e5a151585d733	1	0.094139
